iter	Passed	Remaining
0	92	184644
1	137	137527
2	175	116723
3	211	105665
4	248	99005
5	283	94076
6	338	96505
7	386	96269
8	431	95507
9	467	93088
10	520	94155
11	556	92202
12	604	92459
13	650	92247
14	702	92917
15	741	91907
16	776	90560
17	812	89513
18	848	88492
19	894	88525
20	928	87521
21	964	86703
22	998	85850
23	1034	85143
24	1078	85205
25	1113	84541
26	1151	84148
27	1187	83648
28	1222	83090
29	1272	83532
30	1306	82962
31	1341	82526
32	1376	82059
33	1412	81653
34	1459	81916
35	1508	82317
36	1548	82135
37	1583	81743
38	1622	81563
39	1665	81601
40	1712	81810
41	1758	81974
42	1801	82010
43	1847	82145
44	1889	82109
45	1931	82026
46	1968	81803
47	2002	81453
48	2036	81075
49	2083	81243
50	2119	81011
51	2152	80653
52	2187	80355
53	2223	80144
54	2268	80239
55	2303	79970
56	2336	79642
57	2373	79458
58	2407	79209
59	2451	79255
60	2489	79135
61	2533	79200
62	2575	79184
63	2622	79316
64	2672	79552
65	2709	79401
66	2744	79179
67	2778	78940
68	2832	79261
69	2880	79419
70	2925	79472
71	2963	79364
72	3005	79340
73	3045	79271
74	3087	79248
75	3128	79208
76	3165	79063
77	3206	79014
78	3246	78948
79	3290	78966
80	3328	78866
81	3367	78761
82	3401	78567
83	3434	78330
84	3483	78487
85	3525	78469
86	3568	78460
87	3605	78328
88	3639	78153
89	3698	78485
90	3746	78596
91	3793	78668
92	3834	78625
93	3883	78737
94	3935	78916
95	3982	78979
96	4022	78916
97	4065	78903
98	4103	78805
99	4138	78632
100	4172	78441
101	4206	78273
102	4253	78335
103	4289	78203
104	4323	78033
105	4356	77840
106	4389	77656
107	4436	77716
108	4486	77839
109	4537	77954
110	4580	77948
111	4622	77923
112	4669	77976
113	4711	77945
114	4752	77903
115	4813	78183
116	4863	78268
117	4911	78329
118	4956	78339
119	4998	78317
120	5051	78439
121	5107	78625
122	5160	78753
123	5209	78812
124	5252	78787
125	5291	78707
126	5327	78563
127	5359	78385
128	5394	78240
129	5436	78205
130	5473	78087
131	5509	77964
132	5542	77798
133	5579	77700
134	5623	77684
135	5660	77585
136	5694	77443
137	5728	77292
138	5763	77161
139	5807	77158
140	5842	77035
141	5878	76918
142	5924	76933
143	5979	77071
144	6029	77141
145	6075	77151
146	6115	77088
147	6158	77065
148	6204	77074
149	6247	77058
150	6289	77020
151	6339	77074
152	6375	76958
153	6416	76908
154	6456	76851
155	6491	76728
156	6530	76656
157	6567	76564
158	6604	76469
159	6654	76531
160	6692	76443
161	6734	76411
162	6781	76424
163	6826	76420
164	6871	76415
165	6909	76337
166	6946	76248
167	6988	76207
168	7024	76104
169	7073	76143
